98.772388000	172.17.0.2	172.17.0.3
98.966713000	172.17.0.2	172.17.0.3
99.174696000	172.17.0.2	172.17.0.3
99.369450000	172.17.0.2	172.17.0.3
99.571345000	172.17.0.2	172.17.0.3
99.775898000	172.17.0.2	172.17.0.3
99.966211000	172.17.0.2	172.17.0.3
100.172723000	172.17.0.2	172.17.0.3
100.370011000	172.17.0.2	172.17.0.3
100.568090000	172.17.0.2	172.17.0.3
100.776801000	172.17.0.2	172.17.0.3
100.971894000	172.17.0.2	172.17.0.3
101.175115000	172.17.0.2	172.17.0.3
101.368610000	172.17.0.2	172.17.0.3
101.569581000	172.17.0.2	172.17.0.3
101.779742000	172.17.0.2	172.17.0.3
101.977733000	172.17.0.2	172.17.0.3
102.167673000	172.17.0.2	172.17.0.3
102.373905000	172.17.0.2	172.17.0.3
102.574272000	172.17.0.2	172.17.0.3
102.776761000	172.17.0.2	172.17.0.3
102.973205000	172.17.0.2	172.17.0.3
103.174552000	172.17.0.2	172.17.0.3
103.374754000	172.17.0.2	172.17.0.3
103.568325000	172.17.0.2	172.17.0.3
103.776454000	172.17.0.2	172.17.0.3
103.966647000	172.17.0.2	172.17.0.3
104.173898000	172.17.0.2	172.17.0.3
104.367207000	172.17.0.2	172.17.0.3
104.574114000	172.17.0.2	172.17.0.3
104.764952000	172.17.0.2	172.17.0.3
104.977381000	172.17.0.2	172.17.0.3
105.182228000	172.17.0.2	172.17.0.3
105.372395000	172.17.0.2	172.17.0.3
105.566347000	172.17.0.2	172.17.0.3
105.769300000	172.17.0.2	172.17.0.3
105.975123000	172.17.0.2	172.17.0.3
106.166618000	172.17.0.2	172.17.0.3
106.367926000	172.17.0.2	172.17.0.3
106.572907000	172.17.0.2	172.17.0.3
106.771125000	172.17.0.2	172.17.0.3
106.974799000	172.17.0.2	172.17.0.3
107.174703000	172.17.0.2	172.17.0.3
107.365263000	172.17.0.2	172.17.0.3
107.572442000	172.17.0.2	172.17.0.3
107.768239000	172.17.0.2	172.17.0.3
107.964873000	172.17.0.2	172.17.0.3
108.182093000	172.17.0.2	172.17.0.3
108.371289000	172.17.0.2	172.17.0.3
108.575484000	172.17.0.2	172.17.0.3
108.772563000	172.17.0.2	172.17.0.3
108.974280000	172.17.0.2	172.17.0.3
109.182937000	172.17.0.2	172.17.0.3
109.371061000	172.17.0.2	172.17.0.3
109.567330000	172.17.0.2	172.17.0.3
109.775766000	172.17.0.2	172.17.0.3
109.969783000	172.17.0.2	172.17.0.3
110.170541000	172.17.0.2	172.17.0.3
110.376368000	172.17.0.2	172.17.0.3
110.566507000	172.17.0.2	172.17.0.3
110.771832000	172.17.0.2	172.17.0.3
110.976800000	172.17.0.2	172.17.0.3
111.178919000	172.17.0.2	172.17.0.3
111.373903000	172.17.0.2	172.17.0.3
111.571289000	172.17.0.2	172.17.0.3
111.767423000	172.17.0.2	172.17.0.3
111.987876000	172.17.0.2	172.17.0.3
112.171902000	172.17.0.2	172.17.0.3
112.374365000	172.17.0.2	172.17.0.3
112.570909000	172.17.0.2	172.17.0.3
112.770224000	172.17.0.2	172.17.0.3
112.971051000	172.17.0.2	172.17.0.3
113.174341000	172.17.0.2	172.17.0.3
113.372848000	172.17.0.2	172.17.0.3
113.585468000	172.17.0.2	172.17.0.3
113.775830000	172.17.0.2	172.17.0.3
113.967936000	172.17.0.2	172.17.0.3
114.167827000	172.17.0.2	172.17.0.3
114.370876000	172.17.0.2	172.17.0.3
114.574793000	172.17.0.2	172.17.0.3
114.784306000	172.17.0.2	172.17.0.3
114.983852000	172.17.0.2	172.17.0.3
115.186926000	172.17.0.2	172.17.0.3
115.374804000	172.17.0.2	172.17.0.3
115.702336000	172.17.0.2	172.17.0.3
115.771508000	172.17.0.2	172.17.0.3
115.976335000	172.17.0.2	172.17.0.3
116.202005000	172.17.0.2	172.17.0.3
116.367891000	172.17.0.2	172.17.0.3
116.568898000	172.17.0.2	172.17.0.3
116.766139000	172.17.0.2	172.17.0.3
117.372138000	172.17.0.2	172.17.0.3
117.644031000	172.17.0.2	172.17.0.3
117.767614000	172.17.0.2	172.17.0.3
117.967367000	172.17.0.2	172.17.0.3
118.165993000	172.17.0.2	172.17.0.3
118.368996000	172.17.0.2	172.17.0.3
118.578808000	172.17.0.2	172.17.0.3
118.768983000	172.17.0.2	172.17.0.3
118.967556000	172.17.0.2	172.17.0.3
119.175965000	172.17.0.2	172.17.0.3
119.367764000	172.17.0.2	172.17.0.3
